Freq.	V(out)
1.20226443461741e+02	(-5.42535521195794e+00dB,-1.63336999787333e+02°)
1.23026877081237e+02	(-4.99043168178099e+00dB,-1.63990245307038e+02°)
1.25892541179416e+02	(-4.55658920514996e+00dB,-1.64640100363908e+02°)
1.28824955169313e+02	(-4.12378336063745e+00dB,-1.65286669251346e+02°)
1.31825673855640e+02	(-3.69197003662946e+00dB,-1.65930068518854e+02°)
1.34896288259165e+02	(-3.26110546183752e+00dB,-1.66570426764324e+02°)
1.38038426460288e+02	(-2.83114623114148e+00dB,-1.67207884435296e+02°)
1.41253754462275e+02	(-2.40204932703390e+00dB,-1.67842593640210e+02°)
1.44543977074592e+02	(-1.97377213692262e+00dB,-1.68474717970809e+02°)
1.47910838816820e+02	(-1.54627246594801e+00dB,-1.69104432347832e+02°)
1.51356124843620e+02	(-1.11950854580188e+00dB,-1.69731922888582e+02°)
1.54881661891247e+02	(-6.93439040485300e-01dB,-1.70357386785563e+02°)
1.58489319246110e+02	(-2.68023048091859e-01dB,-1.70981032219544e+02°)
1.62181009735892e+02	(1.56779900292411e-01dB,-1.71603078294233e+02°)
1.65958690743755e+02	(5.81009844780320e-01dB,-1.72223755003713e+02°)
1.69824365246173e+02	(1.00470640313219e+00dB,-1.72843303223735e+02°)
1.73780082874936e+02	(1.42790877992934e+00dB,-1.73461974744080e+02°)
1.77827941003891e+02	(1.85065577730418e+00dB,-1.74080032326265e+02°)
1.81970085860997e+02	(2.27298580797267e+00dB,-1.74697749810847e+02°)
1.86208713666286e+02	(2.69493690902913e+00dB,-1.75315412250335e+02°)
1.90546071796323e+02	(3.11654675722019e+00dB,-1.75933316092424e+02°)
1.94984459975803e+02	(3.53785268480400e+00dB,-1.76551769404069e+02°)
1.99526231496887e+02	(3.95889169575892e+00dB,-1.77171092141476e+02°)
2.04173794466952e+02	(4.37970048190802e+00dB,-1.77791616467212e+02°)
2.08929613085403e+02	(4.80031543871770e+00dB,-1.78413687121211e+02°)
2.13796208950222e+02	(5.22077268001690e+00dB,-1.79037661840506e+02°)
2.18776162394954e+02	(5.64110805158462e+00dB,-1.79663911841254e+02°)
2.23872113856832e+02	(6.06135714269242e+00dB,1.79707177644064e+02°)
2.29086765276776e+02	(6.48155529529189e+00dB,1.79075206764579e+02°)
2.34422881531991e+02	(6.90173760997272e+00dB,1.78439760387832e+02°)
2.39883291901947e+02	(7.32193894854485e+00dB,1.77800407356686e+02°)
2.45470891568501e+02	(7.74219393176033e+00dB,1.77156699683066e+02°)
2.51188643150956e+02	(8.16253693191335e+00dB,1.76508171658142e+02°)
2.57039578276885e+02	(8.58300205903784e+00dB,1.75854338884592e+02°)
2.63026799189536e+02	(9.00362314002513e+00dB,1.75194697214825e+02°)
2.69153480392690e+02	(9.42443368893197e+00dB,1.74528721607574e+02°)
2.75422870333815e+02	(9.84546686777175e+00dB,1.73855864878172e+02°)
2.81838293126443e+02	(1.02667554357532e+01dB,1.73175556354539e+02°)
2.88403150312659e+02	(1.06883316856842e+01dB,1.72487200420098e+02°)
2.95120922666637e+02	(1.11102273653661e+01dB,1.71790174946814e+02°)
3.01995172040200e+02	(1.15324735819354e+01dB,1.71083829608840e+02°)
3.09029543251357e+02	(1.19551006867920e+01dB,1.70367484067823e+02°)
3.16227766016836e+02	(1.23781381380940e+01dB,1.69640426033615e+02°)
3.23593656929626e+02	(1.28016143379370e+01dB,1.68901909186040e+02°)
3.31131121482589e+02	(1.32255564405443e+01dB,1.68151150957563e+02°)
